FTSE,Volatility,Original,Implied,given call,cal cost,rate
7140.68,#REF!,#REF!,,,,
7105.34,0.004973724,0.497372399,,2282.5,"2,314.73",1.492
7053.08,0.007409529,0.740952889,,2236.5,"2,262.33",1.453
7053.76,-9.64025E-05,-0.009640249,,2229.5,"2,263.01",1.522
7033.79,0.002839152,0.283915215,,2210,"2,243.04",1.508
7038.01,-0.000599601,-0.059960131,,2206.5,"2,247.26",1.37
7013.88,0.003440321,0.344032119,,2219,"2,223.13",1.414
7000.89,0.001855478,0.185547837,,2185.5,"2,210.14",1.377
6947.92,0.007623864,0.762386441,,2135.5,"2,157.17",1.385
7050.23,-0.014511583,-1.451158331,,2245.5,"2,259.48",1.396
6960.32,0.01291751,1.291750954,,2159.5,"2,169.57",1.428
6952.86,0.00107294,0.107293977,,2150,"2,162.11",1.382
7036,-0.011816373,-1.181637294,,2239,"2,245.25",1.41
7016.85,0.002729145,0.272914484,,2220.5,"2,226.10",1.393
7004.52,0.001760292,0.176029193,,2203,"2,213.77",1.378
7038.95,-0.004891355,-0.489135453,,2254,"2,248.20",1.367
6980.24,0.008410886,0.841088559,,2164.5,"2,189.49",1.367
7062.41,-0.011634839,-1.163483853,,2273.5,"2,271.66",1.314
7022.76,0.005645928,0.564592838,,2227,"2,232.15",1.283
6921.84,0.014579938,1.457993828,,2130,"2,131.23",1.316
6704.05,0.032486333,3.248633289,,1873.5,"1,913.44",1.244
6778.11,-0.01092635,-1.092634968,,1991,"1,987.50",1.269
6721.54,0.008416226,0.841622604,,1930,"1,930.93",1.199
6806.94,-0.012546019,-1.254601921,,2031,"2,016.33",1.189
6880.19,-0.010646508,-1.064650831,,2082,"2,089.58",1.278
6877.5,0.00039113,0.03911305,,2070,"2,086.89",1.293
6845.17,0.004723038,0.472303829,,2028,"2,054.56",1.242
6773.24,0.010619733,1.061973295,,1977.5,"1,982.63",1.266
6701.59,0.010691493,1.069149262,,1909,"1,910.98",1.281
6765.94,-0.009510874,-0.951087358,,1978.5,"1,975.33",1.273
6711.93,0.008046866,0.80468658,0.85,1912.5,"1,921.32",1.267
