Day,FTSE,Rate fra,in fraction,Vol,BinoC6800,CallTrue6800,CallEst6800,BinoP6800,PutTrue6800,PutEst6800,days to expire
231,6947.92,0.014,0.08,0.094998,192,261,267,42,83.5,16,29
232,7050.23,0.014,0.08,0.095141,274,329.5,191,16,109,29,28
233,6960.32,0.014,0.07,0.09887,195,268.5,186,28,109,31,27
234,6952.86,0.014,0.07,0.100797,189,259.5,254,29,79,16,26
235,7036,0.014,0.07,0.100797,257,318.5,236,15,83,18,25
236,7016.85,0.014,0.07,0.103132,241,304,222,18,88,15,24
237,7004.52,0.014,0.06,0.103149,226,291.5,252,15,75,11,23
238,7038.95,0.014,0.06,0.102558,256,330,201,11,93,19,22
239,6980.24,0.014,0.06,0.102583,206,258.5,269,19,62.5,6,21
240,7062.41,0.013,0.05,0.10296,273,337.5,233,6.2,72.5,9,20
241,7022.76,0.013,0.05,0.103746,237,300,149,10,109,26,19
242,6921.84,0.013,0.05,0.102477,156,239,33,30,255.5,127,18
243,6704.05,0.012,0.05,0.104651,44,124.5,54,135,189.5,75,17
244,6778.11,0.013,0.04,0.116174,72,178,33,90,217.5,111,16
245,6721.54,0.012,0.04,0.117384,42,146.5,67,117,151.5,60,15
246,6806.94,0.012,0.04,0.117782,87,182,112,77,124.5,32,14
247,6880.19,0.013,0.04,0.120096,124,206.5,85,41,116.5,11,13
248,6877.5,0.013,0.03,0.121743,111,187,65,32,130,19,12
249,6845.17,0.012,0.03,0.121258,95,158.5,26,47,154,52,11
250,6773.24,0.013,0.03,0.121289,58,132,27,82,190,61,10
251,6701.59,0.013,0.02,0.122181,21,99.5,27,117,149,61,9
252,6765.94,0.013,0.02,0.123233,41,128,12,73,186,99,8
253,6711.93,0.013,0.02,0.124603,14,98.5,14,99,184,92,7
254,6721.17,0.013,0.02,0.124791,18,86,1,95,201.5,115,6
255,6685.99,0.013,0.01,0.124413,0.2,74.5,1,112,201.5,115,5
256,6685.99,0.013,0.01,0.120639,0.2,74.5,1,112,201.5,115,4
257,6685.99,0.013,0.01,0.120594,0,74.5,0,113,264,215,3
258,6584.68,0.013,0.01,0.119791,0,54.5,4,214,163,70,2
259,6733.97,0.013,0,0.121906,7.6,99.5,3,73,164,75,1
