Day,FTSE,Rate fra,in fraction,Vol,Call6800,C6800ImpVol,Put6800,P6800ImpVol,Call7600,C7600ImpVol,Put7600,P7600ImpVol,Daysto
231,6947.92,0.014,0.08,0.094998,286,0.26,125.5,0.24,5,0.17,562,,29
232,7050.23,0.014,0.08,0.095141,261,0.09,83.5,0.23,9,0.169,645,0.35,28
233,6960.32,0.014,0.07,0.09887,329.5,0.41,109,0.24,5.5,0.186,652.5,0.23,27
234,6952.86,0.014,0.07,0.100797,268.5,0.24,109,0.24,4,0.178,566.5,,26
235,7036,0.014,0.07,0.100797,259.5,0.13,79,0.23,7,0.175,583.5,0.16,25
236,7016.85,0.014,0.07,0.103132,318.5,0.26,83,0.23,5.5,0.172,600.5,0.22,24
237,7004.52,0.014,0.06,0.103149,304,0.27,88,0.25,5,0.186,552.5,,23
238,7038.95,0.014,0.06,0.102558,291.5,0.2,75,0.24,8,0.194,638.5,0.38,22
239,6980.24,0.014,0.06,0.102583,330,0.33,93,0.25,4.5,0.189,531,,21
240,7062.41,0.013,0.05,0.10296,258.5,0.001,62.5,0.26,6.5,0.197,576.5,0.31,20
241,7022.76,0.013,0.05,0.103746,337.5,0.33,72.5,0.259,4.5,0.195,672.5,0.46,19
242,6921.84,0.013,0.05,0.102477,300,0.38,109,0.26,3,0.21,932,0.81,18
243,6704.05,0.012,0.05,0.104651,239,0.47,255.5,0.33,1.5,0.24,814.5,,17
244,6778.11,0.013,0.04,0.116174,124.5,0.24,189.5,0.33,3.5,0.28,872.5,0.52,16
245,6721.54,0.012,0.04,0.117384,178,0.39,217.5,0.32,2,0.27,771.5,0.07,15
246,6806.94,0.012,0.04,0.117782,146.5,0.26,151.5,0.28,2.5,0.26,720.5,,14
247,6880.19,0.013,0.04,0.120096,182,0.25,124.5,0.29,3,0.24,731,0.32,13
248,6877.5,0.013,0.03,0.121743,206.5,0.34,116.5,0.32,2,0.27,772,0.54,12
249,6845.17,0.012,0.03,0.121258,187,0.34,130,0.32,1,0.25,822.5,0.62,11
250,6773.24,0.013,0.03,0.121289,158.5,0.36,154,0.3,1,0.28,890.5,0.65,10
251,6701.59,0.013,0.02,0.122181,132,0.46,190,0.35,0.5,0.28,821.5,,9
252,6765.94,0.013,0.02,0.123233,99.5,0.3,149,0.34,1,0.34,887,0.61,8
253,6711.93,0.013,0.02,0.124603,128,0.44,186,0.36,0.5,0.33,897.5,0.42,7
254,6721.17,0.013,0.02,0.124791,98.5,0.35,184,0.37,0.5,0.33,926.5,0.62,6
255,6685.99,0.013,0.01,0.124413,86,0.5,201.5,0.5,0.5,0.49,926.5,0.79,5
256,6685.99,0.013,0.01,0.120639,74.5,0.45,201.5,0.5,0.5,0.49,926.5,0.79,4
257,6685.99,0.013,0.01,0.120594,74.5,0.45,201.5,0.5,0.5,0.49,1009,0.89,3
258,6584.68,0.013,0.01,0.119791,74.5,0.59,264,0.48,0.5,0.54,863,0.01,2
259,6733.97,0.013,0.00,0.121906,54.5,0.3,163,0.46,0.5,0.46,878.5,0.75,1
260,6728.13,0.013,0.00,0.128363,99.5,0.49,164,0.46,0.5,0.46,878.5,0.67,0
